song_title,album_title,album_release_date_raw,album_release_date_iso,disc_number,track_number,release_group_mbid,release_mbid,recording_mbid
Cautious Man,Tunnel of Love,1987,1987-01-01,1,,b3559cb2-d7ad-32eb-a17e-54a873ce4122,54c0a631-9f0f-4189-88a1-e64fabe68504,6c4c7b80-70b3-40b2-ae30-7a2f644f35b8
Walk Like a Man,Tunnel of Love,1987,1987-01-01,1,,b3559cb2-d7ad-32eb-a17e-54a873ce4122,54c0a631-9f0f-4189-88a1-e64fabe68504,17ec614e-f950-4083-8cd4-ca3ef695fd5c
Tunnel of Love,Tunnel of Love,1987,1987-01-01,1,,b3559cb2-d7ad-32eb-a17e-54a873ce4122,54c0a631-9f0f-4189-88a1-e64fabe68504,b1dddcd9-1052-4bd1-a9f2-ba13d4bcd0cd
Two Faces,Tunnel of Love,1987,1987-01-01,1,,b3559cb2-d7ad-32eb-a17e-54a873ce4122,54c0a631-9f0f-4189-88a1-e64fabe68504,a5b1fea4-459c-4fc7-86cf-c5080cb6f16d
Brilliant Disguise,Tunnel of Love,1987,1987-01-01,1,,b3559cb2-d7ad-32eb-a17e-54a873ce4122,54c0a631-9f0f-4189-88a1-e64fabe68504,b5738dd5-7df0-4d48-926a-a135650d56ee
One Step Up,Tunnel of Love,1987,1987-01-01,1,,b3559cb2-d7ad-32eb-a17e-54a873ce4122,54c0a631-9f0f-4189-88a1-e64fabe68504,75d931ec-3a28-47e0-99f7-3d04930b85da
When You’re Alone,Tunnel of Love,1987,1987-01-01,1,,b3559cb2-d7ad-32eb-a17e-54a873ce4122,54c0a631-9f0f-4189-88a1-e64fabe68504,ca2e7873-0b56-47e6-8c76-bec878aa87a7
Valentine’s Day,Tunnel of Love,1987,1987-01-01,1,,b3559cb2-d7ad-32eb-a17e-54a873ce4122,54c0a631-9f0f-4189-88a1-e64fabe68504,ad35ece5-edbf-4c50-8552-1a57b01de439
Human Touch,Human Touch,1992,1992-01-01,1,,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,d4fa7779-4c03-4705-b38f-3de68d74ba64,689b6827-1765-45cf-9310-641ac5aeb5b5
Soul Driver,Human Touch,1992,1992-01-01,1,,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,d4fa7779-4c03-4705-b38f-3de68d74ba64,b9614d90-eae2-426b-8cda-9c3dcdbe1b31
57 Channels (and Nothin’ On),Human Touch,1992,1992-01-01,1,,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,d4fa7779-4c03-4705-b38f-3de68d74ba64,1cb1a869-7e5b-4b03-a257-ed86258eafeb
Cross My Heart,Human Touch,1992,1992-01-01,1,,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,d4fa7779-4c03-4705-b38f-3de68d74ba64,349896b6-ebad-4701-82ac-7b37de4e912d
Gloria’s Eyes,Human Touch,1992,1992-01-01,1,,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,d4fa7779-4c03-4705-b38f-3de68d74ba64,3d6caadf-c1f6-433e-8d0c-2b153bd17737
With Every Wish,Human Touch,1992,1992-01-01,1,,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,d4fa7779-4c03-4705-b38f-3de68d74ba64,edc92cd6-7214-4fae-8c22-ec5dd1eb55bb
Roll of the Dice,Human Touch,1992,1992-01-01,1,,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,d4fa7779-4c03-4705-b38f-3de68d74ba64,2051fe72-6b91-410c-86a6-cdba35ad5c27
Real World,Human Touch,1992,1992-01-01,1,,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,d4fa7779-4c03-4705-b38f-3de68d74ba64,db941235-6726-4a9d-a956-c032e7f399d5
All or Nothin’ at All,Human Touch,1992,1992-01-01,1,,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,d4fa7779-4c03-4705-b38f-3de68d74ba64,79bb22c0-4eec-4b96-b7a5-70c7352e4350
Man’s Job,Human Touch,1992,1992-01-01,1,,220de9c6-fa5f-39e3-ae89-1faf8a8bbc67,d4fa7779-4c03-4705-b38f-3de68d74ba64,ae11b7c9-9ca9-4543-b677-3931c5ff03c7
