song_title,album_release_date_iso,play_date_iso,years_since_release
House of a Thousand Guitars,2020-10-23,2025-05-17,4.56
My City of Ruins,2002-01-01,2025-05-17,23.37
Ghosts,2020-10-23,2025-05-17,4.56
Because the Night,2010-01-01,2025-05-17,15.37
Human Touch,1992-01-01,2025-05-17,33.38
Wrecking Ball,2012-01-01,2025-05-17,13.37
The Rising,2002-01-01,2025-05-17,23.37
Badlands,1978-01-01,2025-05-17,47.37
Thunder Road,1975-01-01,2025-05-17,50.37
Born in the U.S.A.,1984-01-01,2025-05-17,41.38
Born to Run,1975-01-01,2025-05-17,50.37
Bobby Jean,1984-01-01,2025-05-17,41.38
Dancing in the Dark,1984-01-01,2025-05-17,41.38
Tenth Avenue Freeze‐Out,1975-01-01,2025-05-17,50.37
Land of Hope and Dreams,2012-01-01,2025-05-14,13.37
Death to My Hometown,2012-01-01,2025-05-14,13.37
Lonesome Day,2002-01-01,2025-05-14,23.37
Rainmaker,2020-10-23,2025-05-14,4.56
Darkness on the Edge of Town,1978-01-01,2025-05-14,47.37
The Promised Land,1978-01-01,2025-05-14,47.37
Hungry Heart,1980-01-01,2025-05-14,45.37
My Hometown,1984-01-01,2025-05-14,41.37
Youngstown,1995-01-01,2025-05-14,30.37
Long Walk Home,2007-01-01,2025-05-14,18.37
House of a Thousand Guitars,2020-10-23,2025-05-14,4.56
My City of Ruins,2002-01-01,2025-05-14,23.37
Letter to You,2020-10-23,2025-05-14,4.56
Because the Night,2010-01-01,2025-05-14,15.37
Human Touch,1992-01-01,2025-05-14,33.37
Wrecking Ball,2012-01-01,2025-05-14,13.37
The Rising,2002-01-01,2025-05-14,23.37
Badlands,1978-01-01,2025-05-14,47.37
Thunder Road,1975-01-01,2025-05-14,50.37
Born in the U.S.A.,1984-01-01,2025-05-14,41.37
Born to Run,1975-01-01,2025-05-14,50.37
Bobby Jean,1984-01-01,2025-05-14,41.37
Dancing in the Dark,1984-01-01,2025-05-14,41.37
Tenth Avenue Freeze‐Out,1975-01-01,2025-05-14,50.37
Tenth Avenue Freeze‐Out,1975-01-01,2025-04-26,50.32
Nebraska,1982-01-01,2025-04-22,43.31
Atlantic City,1982-01-01,2025-04-22,43.31
Mansion on the Hill,1982-01-01,2025-04-22,43.31
Johnny 99,1982-01-01,2025-04-22,43.31
Highway Patrolman,1982-01-01,2025-04-22,43.31
State Trooper,1982-01-01,2025-04-22,43.31
Used Cars,1982-01-01,2025-04-22,43.31
Open All Night,1982-01-01,2025-04-22,43.31
My Father’s House,1982-01-01,2025-04-22,43.31
Reason to Believe,1982-01-01,2025-04-22,43.31
Because the Night,2010-01-01,2025-03-26,15.23
Darkness on the Edge of Town,1978-01-01,2025-01-18,47.05
The Promised Land,1978-01-01,2025-01-18,47.05
Thunder Road,1975-01-01,2025-01-18,50.05
Spirit in the Night,1973-01-01,2024-11-22,51.89
Lonesome Day,2002-01-01,2024-11-22,22.89
Ghosts,2020-10-23,2024-11-22,4.08
Letter to You,2020-10-23,2024-11-22,4.08
The Promised Land,1978-01-01,2024-11-22,46.89
Hungry Heart,1980-01-01,2024-11-22,44.89
Ramrod,1980-01-01,2024-11-22,44.89
Human Touch,1992-01-01,2024-11-22,32.89
Atlantic City,1982-01-01,2024-11-22,42.89
